gender,age,height,weight,bust_circumference,waist_circumference,hip_circumference,bmi
F,59,1506,60.9,997,913,900,26.85
M,68,1560,44.0,780,666,805,18.08
F,31,1628,58.1,875,740,956,21.92
M,51,1726,77.5,986,903,992,26.01
F,54,1549,50.9,891,745,856,21.21
F,27,1594,49.8,810,691,935,19.6
M,26,1892,103.7,1056,958,1104,28.97
F,22,1690,60.5,852,730,955,21.18
F,25,1577,52.2,830,682,930,20.99
M,59,1607,65.1,943,888,935,25.21
M,33,1785,92.9,1046,945,1025,29.16
F,39,1624,48.2,825,670,899,18.28
F,19,1566,57.2,830,760,995,23.32
M,17,1688,73.5,931,805,971,25.8
M,54,1705,73.9,972,902,960,25.42
M,35,1629,44.3,769,649,776,16.69
F,20,1732,60.3,855,690,950,20.1
F,33,1666,53.8,825,672,880,19.38
F,58,1503,58.3,965,831,915,25.81
F,55,1471,54.8,965,825,910,25.33
F,34,1530,55.5,900,790,961,23.71
F,16,1630,58.5,865,760,932,22.02
M,39,1675,83.0,1009,955,1021,29.58
F,39,1536,54.2,873,752,915,22.97
F,41,1613,49.6,820,672,850,19.06
F,33,1595,62.0,895,810,955,24.37
M,44,1721,59.9,870,739,895,20.22
F,16,1710,46.0,745,595,843,15.73
F,42,1610,54.3,863,720,906,20.95
M,47,1688,69.4,927,790,952,24.36
F,36,1562,51.3,811,690,940,21.03
F,16,1655,57.0,836,690,979,20.81
M,32,1808,71.2,945,810,937,21.78
M,18,1837,73.7,861,751,971,21.84
M,20,1650,89.7,1100,1057,1045,32.95
F,27,1551,52.6,820,717,934,21.87
M,16,1758,60.4,824,695,905,19.54
F,55,1476,47.6,886,745,851,21.85
F,37,1594,47.6,791,705,885,18.73
F,65,1496,61.4,981,881,934,27.44
F,48,1568,51.9,840,686,890,21.11
M,23,1702,54.5,830,660,845,18.81
F,19,1661,68.4,966,770,996,24.79
F,55,1528,58.6,921,917,895,25.1
M,18,1685,61.2,855,773,890,21.56
F,43,1572,57.3,930,745,885,23.19
M,53,1636,63.9,905,800,855,23.87
M,19,1703,58.8,821,735,924,20.27
F,34,1723,60.4,820,703,975,20.35
F,36,1672,60.7,823,757,972,21.71
F,40,1566,60.3,896,763,965,24.59
F,21,1615,63.5,900,772,975,24.35
F,53,1508,67.3,1005,875,945,29.59
M,27,1780,66.4,870,770,935,20.96
F,29,1501,40.0,790,640,818,17.75
M,17,1750,57.6,805,878,900,18.81
F,18,1558,67.0,921,834,1070,27.6
F,43,1585,51.4,805,685,885,20.46
M,18,1725,53.3,795,675,898,17.91
F,35,1538,57.8,930,805,904,24.44
M,33,1690,66.8,865,781,950,23.39
F,59,1619,75.6,1025,982,1029,28.84
F,37,1691,83.5,1018,995,1096,29.2
F,16,1649,53.5,785,654,895,19.67
M,26,1761,92.0,1057,930,1070,29.67
F,17,1516,52.3,810,702,962,22.76
M,16,1733,65.4,855,720,935,21.78
F,17,1550,52.0,838,682,907,21.64
M,32,1712,74.8,962,854,958,25.52
F,41,1558,50.3,805,695,921,20.72
M,58,1676,71.5,942,892,940,25.45
M,33,1770,71.9,935,848,960,22.95
M,24,1716,78.7,998,904,973,26.73
M,26,1775,107.7,1105,1110,1147,34.18
M,32,1725,72.8,947,811,963,24.47
M,25,1741,81.2,964,848,1035,26.79
F,19,1655,53.9,811,685,870,19.68
F,17,1572,55.4,881,690,930,22.42
F,54,1461,49.4,840,785,871,23.14
F,36,1456,46.0,826,780,851,21.7
F,67,1545,57.1,986,841,898,23.92
M,25,1635,62.3,808,745,920,23.31
F,23,1592,42.7,745,655,816,16.85
M,23,1754,92.3,1060,1040,1058,30.0
M,47,1850,83.9,998,956,980,24.51
M,26,1790,75.4,885,805,987,23.53
F,56,1481,55.1,915,825,935,25.12
M,37,1727,71.7,914,839,942,24.04
F,20,1640,49.5,802,620,870,18.4
M,19,1686,62.0,837,695,911,21.81
M,17,1733,71.7,850,803,990,23.87
M,20,1805,61.5,860,712,890,18.88
F,56,1542,50.0,861,795,851,21.03
M,44,1850,69.6,910,821,880,20.34
M,54,1729,77.6,1010,918,946,25.96
M,30,1697,62.5,883,733,892,21.7
M,40,1706,62.9,886,780,900,21.61
M,56,1644,78.3,1009,924,973,28.97
F,18,1549,64.3,948,824,995,26.8
F,36,1700,69.9,1003,860,990,24.19
F,28,1574,54.0,815,720,925,21.8
F,17,1625,50.3,786,640,900,19.05
F,57,1499,52.1,834,762,925,23.19
M,24,1718,68.7,892,826,931,23.28
F,61,1567,58.2,934,835,924,23.7
M,22,1733,63.6,866,726,936,21.18
M,50,1705,90.4,1037,1033,1051,31.1
M,17,1710,55.4,768,690,880,18.95
M,19,1757,56.7,832,730,890,18.37
M,52,1664,77.5,1022,939,1013,27.99
M,37,1784,75.0,908,810,958,23.57
F,36,1575,59.5,891,850,961,23.99
F,16,1639,56.8,864,715,940,21.14
F,20,1682,66.4,910,795,975,23.47
M,63,1673,69.8,960,905,939,24.94
F,49,1542,57.1,860,770,950,24.01
F,57,1479,59.1,991,921,937,27.02
F,19,1600,58.9,934,750,956,23.01
M,30,1824,81.2,950,864,1007,24.41
M,16,1662,57.0,761,686,875,20.64
F,43,1562,60.6,900,795,971,24.84
F,17,1480,43.5,775,660,850,19.86
F,18,1567,57.4,850,756,1002,23.38
M,19,1746,73.1,899,764,925,23.98
M,37,1608,73.4,996,873,977,28.39
F,16,1654,51.6,774,674,888,18.86
F,22,1565,46.5,778,676,865,18.99
M,56,1580,46.0,820,655,825,18.43
M,37,1718,78.8,960,960,986,26.7
M,26,1720,69.8,932,792,925,23.59
F,26,1556,53.4,790,730,964,22.06
F,36,1600,49.7,777,670,901,19.41
F,19,1636,45.4,772,620,835,16.96
F,18,1594,52.9,805,745,904,20.82
F,30,1612,56.7,886,762,971,21.82
M,18,1702,71.1,859,741,981,24.54
F,16,1568,48.3,736,616,876,19.65
M,23,1724,74.8,960,800,975,25.17
M,37,1675,67.6,880,874,948,24.09
M,17,1689,66.1,885,767,935,23.17
F,35,1685,52.7,773,675,905,18.56
M,17,1727,78.1,942,878,998,26.19
M,40,1800,83.1,992,915,1020,25.65
M,29,1724,87.3,1058,966,1070,29.37
M,17,1734,61.6,790,695,885,20.49
F,17,1651,61.8,860,725,945,22.67
M,23,1732,65.2,936,720,895,21.73
F,17,1631,52.3,785,676,893,19.66
F,17,1613,56.9,845,672,918,21.87
F,18,1570,47.6,750,673,898,19.31
F,29,1694,65.5,901,710,1007,22.83
M,29,1714,58.6,830,743,892,19.95
M,59,1799,86.9,1048,960,976,26.85
F,63,1580,62.6,982,872,953,25.08
F,49,1575,62.8,967,810,930,25.32
M,16,1620,71.1,935,845,975,27.09
M,20,1720,82.1,990,910,1040,27.75
M,24,1800,71.2,926,834,980,21.98
M,18,1711,59.5,834,720,905,20.32
F,16,1663,52.4,790,700,905,18.95
F,29,1576,61.4,925,786,956,24.72
M,17,1681,59.3,837,702,932,20.99
M,38,1675,73.6,997,834,960,26.23
F,68,1502,51.4,925,831,849,22.78
F,32,1530,46.5,770,670,892,19.86
M,67,1743,74.7,1003,902,910,24.59
F,30,1655,51.7,790,705,908,18.88
F,58,1612,72.1,1037,972,986,27.75
F,17,1578,49.0,815,683,910,19.68
F,17,1505,40.3,765,625,821,17.79
M,54,1649,65.8,887,822,920,24.2
F,37,1619,61.0,880,740,973,23.27
M,18,1728,61.6,840,720,931,20.63
M,26,1730,82.6,1012,862,1020,27.6
M,27,1735,79.0,970,910,997,26.24
F,35,1519,58.1,950,840,925,25.18
F,65,1465,79.7,1160,1155,1015,37.13
M,56,1672,58.4,850,769,891,20.89
F,28,1514,48.1,811,730,892,20.98
F,29,1670,55.8,850,705,890,20.01
M,53,1658,67.1,950,769,912,24.41
F,25,1682,70.2,904,821,988,24.81
M,33,1804,94.9,1075,1061,1079,29.16
M,56,1695,60.4,871,820,921,21.02
M,16,1711,56.8,775,630,880,19.4
F,17,1604,55.0,825,692,935,21.38
F,62,1500,51.3,867,775,931,22.8
M,54,1635,69.6,993,873,902,26.04
M,21,1860,71.0,880,774,932,20.52
F,60,1626,66.2,995,899,977,25.04
M,34,1702,85.2,1070,961,1007,29.41
F,22,1650,49.6,750,683,880,18.22
M,17,1728,72.5,997,790,975,24.28
F,23,1678,65.8,882,774,995,23.37
F,32,1550,42.2,811,670,828,17.57
M,25,1745,69.2,895,740,946,22.73
M,35,1810,80.1,995,850,967,24.45
M,18,1761,64.9,847,740,920,20.93
F,41,1525,47.7,774,665,841,20.51
F,29,1539,52.6,815,745,893,22.21
F,26,1540,40.7,688,605,803,17.16
F,52,1573,57.7,975,862,873,23.32
F,49,1595,63.4,960,862,960,24.92
M,51,1603,78.0,972,879,964,30.35
M,17,1663,49.2,745,612,844,17.79
F,17,1639,54.5,855,685,925,20.29
M,16,1657,59.2,853,712,954,21.56
M,50,1754,79.7,954,878,995,25.91
M,24,1915,86.7,964,807,980,23.64
F,19,1740,57.7,866,680,912,19.06
M,19,1775,73.8,880,792,964,23.42
M,49,1748,80.2,973,930,994,26.25
M,19,1790,68.0,857,737,955,21.22
F,22,1650,61.5,882,770,962,22.59
F,32,1546,42.1,765,691,821,17.61
M,42,1747,83.6,902,995,1000,27.39
M,20,1745,60.9,835,698,890,20.0
F,20,1675,57.2,815,709,967,20.39
M,61,1650,70.4,960,838,935,25.86
F,45,1641,60.1,901,825,950,22.32
M,20,1743,81.9,965,825,1017,26.96
F,25,1602,61.8,867,764,955,24.08
M,26,1770,62.7,850,690,885,20.01
F,16,1530,52.0,830,711,905,22.21
M,16,1714,64.8,905,760,916,22.06
M,28,1645,70.7,930,880,946,26.13
M,25,1660,55.5,771,697,872,20.14
M,40,1696,70.3,947,860,944,24.44
M,17,1828,72.8,875,785,995,21.79
M,21,1755,67.5,902,810,925,21.92
M,17,1712,92.5,1008,937,1092,31.56
F,16,1568,46.1,811,641,840,18.75
M,42,1734,74.2,966,828,920,24.68
M,36,1756,65.6,895,772,930,21.27
F,17,1649,47.9,795,641,870,17.62
F,19,1598,49.0,821,673,873,19.19
M,24,1805,83.7,951,875,1052,25.69
F,25,1512,51.5,855,796,901,22.53
M,18,1733,73.1,912,778,975,24.34
F,19,1535,54.0,863,696,967,22.92
F,46,1456,55.6,932,785,932,26.23
F,50,1528,56.6,939,825,963,24.24
M,40,1745,72.0,938,870,950,23.65
M,34,1738,74.6,955,833,979,24.7
M,19,1746,89.6,1060,1010,1033,29.39
F,55,1558,61.9,960,830,954,25.5
F,18,1610,52.9,825,710,909,20.41
F,27,1654,84.2,1030,892,1121,30.78
F,47,1585,67.8,955,855,1013,26.99
F,17,1635,46.2,760,632,850,17.28
M,18,1675,66.1,930,790,956,23.56
F,20,1647,52.0,816,610,850,19.17
M,33,1629,75.2,950,854,990,28.34
F,25,1602,52.8,775,730,947,20.57
F,52,1598,59.3,852,769,945,23.22
F,19,1660,70.2,922,786,1045,25.48
F,60,1535,58.8,964,886,920,24.96
F,24,1575,63.3,951,855,935,25.52
F,36,1632,63.6,900,860,971,23.88
M,24,1694,95.6,1090,1000,1072,33.31
M,17,1710,64.4,892,763,952,22.02
M,21,1724,73.6,925,764,941,24.76
F,20,1560,49.3,804,694,896,20.26
M,20,1743,66.2,852,770,940,21.79
M,39,1780,77.8,1000,910,947,24.55
F,43,1667,64.4,895,812,995,23.17
F,39,1650,74.8,990,932,1070,27.47
M,23,1770,89.4,1097,944,1024,28.54
F,26,1619,61.1,895,765,996,23.31
F,24,1645,58.2,860,697,935,21.51
M,16,1626,50.0,800,655,867,18.91
F,33,1545,48.6,782,676,890,20.36
M,60,1605,65.2,881,896,900,25.31
F,18,1592,60.7,904,768,953,23.95
M,53,1629,61.6,870,791,876,23.21
M,17,1663,57.0,835,685,945,20.61
F,50,1606,56.7,905,740,930,21.98
F,17,1614,56.5,870,704,956,21.69
F,17,1496,47.1,752,605,851,21.05
F,62,1510,65.3,988,915,960,28.64
F,41,1540,53.8,820,762,990,22.69
F,18,1602,58.5,866,767,971,22.79
M,39,1714,74.1,972,880,974,25.22
M,58,1710,64.5,905,835,905,22.06
F,26,1666,60.3,900,840,931,21.73
F,27,1691,110.4,1120,1049,1250,38.61
F,35,1622,54.6,842,750,920,20.75
M,25,1705,63.6,824,781,931,21.88
F,48,1641,62.5,986,868,955,23.21
F,18,1631,52.6,793,720,920,19.77
F,23,1667,53.9,842,640,915,19.4
M,24,1838,99.6,1053,882,1107,29.48
F,31,1638,60.0,930,780,940,22.36
M,44,1703,71.8,920,871,914,24.76
M,25,1661,73.2,921,821,995,26.53
F,17,1570,57.3,842,722,956,23.25
M,20,1714,64.4,880,720,930,21.92
M,59,1688,64.3,895,799,926,22.57
F,55,1437,50.3,900,806,860,24.36
F,17,1625,49.7,836,638,898,18.82
F,33,1613,60.2,895,827,967,23.14
M,19,1840,72.2,921,860,911,21.33
M,36,1720,73.9,992,810,998,24.98
F,35,1654,96.0,1180,1025,1170,35.09
M,30,1755,79.7,945,894,1005,25.88
M,32,1742,82.3,967,827,1025,27.12
M,24,1736,63.0,872,724,925,20.9
M,19,1760,66.4,870,757,925,21.44
M,21,1693,59.2,854,740,894,20.65
F,50,1582,61.5,943,828,960,24.57
F,23,1615,59.1,820,700,983,22.66
M,20,1735,56.2,805,683,885,18.67
F,39,1555,54.0,892,788,890,22.33
M,16,1700,56.9,820,689,851,19.69
M,49,1640,68.5,960,866,922,25.47
F,20,1645,53.5,801,685,901,19.77
M,18,1704,56.4,791,668,906,19.42
F,50,1586,82.0,1100,1030,1083,32.6
F,48,1657,63.3,915,880,985,23.05
F,16,1549,44.3,730,620,860,18.46
M,26,1704,71.9,862,807,985,24.76
M,19,1657,66.1,874,761,923,24.07
F,39,1682,106.9,1140,1027,1265,37.79
M,58,1665,68.8,990,942,957,24.82
F,48,1650,60.2,872,771,955,22.11
F,38,1468,53.5,886,800,925,24.83
M,25,1711,70.2,912,796,960,23.98
M,20,1726,69.1,891,810,972,23.2
M,16,1640,46.9,738,635,801,17.44
F,33,1664,55.4,832,640,905,20.01
M,19,1759,60.2,801,692,932,19.46
F,47,1573,69.7,980,880,975,28.17
F,28,1680,59.2,870,730,1003,20.98
F,44,1541,53.8,915,760,902,22.66
M,25,1804,72.6,892,820,970,22.31
F,23,1654,56.6,834,757,931,20.69
M,16,1795,57.3,816,651,907,17.78
F,27,1602,57.4,850,764,975,22.37
M,17,1794,51.5,744,644,834,16.0
F,20,1555,48.3,820,697,880,19.97
M,16,1720,62.5,860,740,949,21.13
F,19,1638,62.5,860,775,1002,23.29
F,19,1580,52.3,800,651,941,20.95
F,61,1456,66.6,1040,984,968,31.42
F,30,1663,48.9,790,692,872,17.68
F,59,1460,50.0,871,805,881,23.46
M,58,1650,82.1,1039,942,1011,30.16
M,33,1704,90.3,958,934,1058,31.1
F,16,1555,45.7,745,645,856,18.9
M,60,1638,68.5,947,892,943,25.53
F,61,1516,57.7,846,821,945,25.11
F,25,1516,47.7,790,700,882,20.75
M,67,1677,62.7,938,850,900,22.29
M,33,1685,75.2,944,838,1015,26.49
F,26,1610,54.3,906,730,916,20.95
F,29,1628,57.8,870,700,920,21.81
F,51,1565,64.3,971,838,960,26.25
F,16,1605,62.4,900,796,975,24.22
M,33,1835,87.8,1014,875,965,26.07
F,26,1634,64.8,896,770,985,24.27
M,23,1683,58.2,852,724,910,20.55
F,68,1480,48.5,871,792,855,22.14
F,16,1456,41.0,722,635,830,19.34
M,48,1774,77.0,960,889,953,24.47
M,16,1768,61.3,810,712,896,19.61
M,23,1793,74.9,886,836,965,23.3
F,54,1550,72.0,1055,954,974,29.97
F,25,1555,46.2,763,671,875,19.11
F,16,1581,48.5,760,654,865,19.4
M,52,1740,87.7,1040,948,1050,28.97
F,28,1669,59.5,860,706,927,21.36
F,27,1557,50.1,830,660,881,20.67
F,67,1535,67.7,1033,946,983,28.73
F,30,1563,56.4,840,722,945,23.09
F,16,1489,40.5,740,591,840,18.27
M,52,1603,72.9,998,858,952,28.37
F,44,1582,63.3,912,841,972,25.29
M,19,1614,55.6,804,705,865,21.34
F,41,1590,74.8,1106,972,970,29.59
M,16,1771,63.7,851,705,901,20.31
M,16,1788,63.2,864,722,911,19.77
M,18,1728,56.1,785,721,880,18.79
F,19,1582,56.1,845,768,930,22.42
F,33,1575,47.3,780,691,856,19.07
M,38,1665,58.1,850,760,891,20.96
M,25,1724,66.7,870,786,945,22.44
F,66,1479,68.2,1033,980,975,31.18
M,20,1829,76.2,922,804,993,22.78
M,21,1698,66.3,924,794,936,23.0
F,20,1586,63.0,889,822,995,25.05
M,63,1663,63.3,933,887,882,22.89
F,19,1662,57.9,831,690,936,20.96
F,16,1670,62.0,860,742,950,22.23
M,51,1666,60.7,902,785,876,21.87
M,21,1812,78.6,955,786,940,23.94
M,16,1750,65.4,845,705,935,21.36
F,46,1560,65.2,952,810,993,26.79
M,19,1774,60.6,775,685,891,19.26
F,17,1605,49.2,842,675,880,19.1
M,25,1683,64.7,928,765,901,22.84
M,21,1783,107.1,1109,1048,1116,33.69
M,57,1734,68.1,945,824,906,22.65
M,17,1728,75.8,940,816,994,25.39
M,18,1829,87.7,962,821,1055,26.22
F,43,1605,64.1,907,812,1030,24.88
M,21,1794,102.1,1153,1022,1110,31.72
F,20,1644,45.8,770,650,850,16.95
F,26,1578,48.4,810,680,901,19.44
M,35,1732,67.1,925,798,912,22.37
F,45,1710,51.8,791,655,880,17.71
F,46,1542,50.5,822,714,897,21.24
F,37,1669,55.1,831,740,925,19.78
M,22,1683,80.9,1016,934,1001,28.56
F,25,1597,58.0,859,780,937,22.74
M,54,1684,80.3,1004,911,1007,28.32
F,50,1594,54.5,850,730,910,21.45
F,16,1681,64.1,915,730,1011,22.68
F,18,1577,62.4,962,820,990,25.09
M,16,1655,56.9,853,678,891,20.77
M,32,1749,82.5,900,761,920,26.97
F,17,1577,59.1,845,755,1005,23.76
F,30,1753,64.7,821,745,980,21.05
F,46,1570,63.5,954,874,970,25.76
F,26,1591,49.8,785,700,925,19.67
M,22,1720,65.3,873,754,917,22.07
F,54,1571,56.0,865,804,941,22.69
F,16,1604,42.8,746,620,845,16.64
M,28,1833,106.2,1093,1036,1109,31.61
F,36,1591,57.6,906,762,918,22.76
F,63,1486,53.8,950,864,890,24.36
F,33,1605,54.9,823,704,934,21.31
M,45,1709,76.6,905,910,977,26.23
M,40,1786,57.6,893,726,930,18.06
F,16,1606,48.8,800,636,895,18.92
F,34,1585,45.1,770,646,870,17.95
M,17,1675,72.8,951,828,965,25.95
F,16,1666,58.1,837,698,917,20.93
F,16,1624,52.1,808,705,911,19.75
F,18,1625,48.7,790,640,870,18.44
M,23,1650,62.5,851,755,911,22.96
F,32,1572,46.3,780,692,875,18.74
M,33,1681,88.0,1058,985,1008,31.14
M,19,1775,103.5,1104,1025,1140,32.85
M,18,1698,64.2,845,715,937,22.27
F,21,1720,52.1,765,665,900,17.61
F,42,1624,62.0,935,833,933,23.51
M,29,1733,80.9,1024,876,1005,26.94
M,18,1736,58.9,778,691,894,19.54
M,18,1722,65.2,900,734,913,21.99
F,19,1623,63.4,871,761,984,24.07
F,46,1541,55.7,908,797,912,23.46
F,41,1631,69.2,1030,918,945,26.01
F,67,1523,63.6,1025,965,996,27.42
F,28,1598,48.4,783,645,870,18.95
M,45,1685,72.8,945,810,930,25.64
F,18,1595,59.5,895,734,937,23.39
M,55,1675,83.3,1062,983,1012,29.69
F,40,1476,47.4,810,685,861,21.76
M,18,1706,72.2,944,850,1006,24.81
M,33,1708,92.0,1022,956,1026,31.54
F,61,1595,68.8,1015,921,957,27.04
M,66,1632,60.4,864,804,910,22.68
M,39,1724,76.0,955,885,971,25.57
F,16,1634,60.9,848,745,952,22.81
F,19,1564,58.1,894,735,957,23.75
M,22,1640,55.1,825,666,864,20.49
M,56,1651,62.4,920,745,890,22.89
F,16,1611,53.7,806,657,905,20.69
F,19,1566,50.6,780,670,910,20.63
F,23,1630,50.3,805,662,860,18.93
M,20,1640,61.2,840,722,930,22.75
M,41,1758,66.7,910,826,911,21.58
F,21,1720,58.0,791,690,1001,19.61
M,16,1848,65.0,827,687,895,19.03
M,27,1789,89.1,1025,1013,1009,27.84
M,18,1905,79.6,874,775,1000,21.93
F,49,1510,55.7,886,790,915,24.43
F,34,1570,48.5,831,716,867,19.68
M,34,1797,79.9,950,860,979,24.74
F,34,1625,71.8,990,905,1046,27.19
F,19,1560,41.2,718,625,808,16.93
F,48,1580,58.4,880,785,893,23.39
F,18,1531,55.2,858,755,945,23.55
M,22,1780,61.0,849,733,914,19.25
F,19,1600,66.2,915,745,1020,25.86
F,46,1568,47.7,812,672,850,19.4
M,24,1770,76.7,925,840,990,24.48
M,58,1634,66.2,907,839,911,24.79
F,18,1645,57.6,871,741,948,21.29
F,65,1486,68.4,1020,960,1014,30.98
F,18,1551,65.9,1000,885,959,27.39
F,65,1495,53.2,936,835,840,23.8
M,20,1740,60.4,820,766,902,19.95
M,39,1664,72.0,968,882,946,26.0
M,24,1720,74.8,956,796,955,25.28
M,18,1725,60.5,826,695,845,20.33
M,57,1643,70.5,940,947,955,26.12
F,20,1539,40.8,762,623,815,17.23
M,17,1675,60.7,825,760,950,21.64
F,49,1560,57.5,864,805,996,23.63
M,37,1797,86.8,1077,940,976,26.88
F,29,1651,60.6,856,721,970,22.23
F,46,1604,62.2,912,795,993,24.18
F,57,1573,56.7,954,855,892,22.92
M,24,1656,84.6,1030,975,1026,30.85
M,20,1790,79.0,992,837,1006,24.66
M,31,1699,67.7,950,814,949,23.45
M,26,1769,83.5,963,861,1017,26.68
M,17,1639,58.0,820,713,926,21.59
F,18,1634,58.5,867,700,936,21.91
M,41,1766,82.3,1010,845,987,26.39
F,16,1610,49.3,770,660,901,19.02
M,46,1746,115.4,1217,1164,1195,37.85
F,24,1645,58.2,898,722,952,21.51
F,40,1567,63.2,961,852,942,25.74
F,16,1583,56.6,795,710,930,22.59
M,19,1710,57.0,825,685,861,19.49
M,27,1778,69.0,916,777,945,21.83
F,62,1584,79.7,1018,1007,1095,31.76
F,35,1550,44.4,798,645,845,18.48
F,37,1554,52.1,817,780,890,21.57
F,51,1508,54.6,905,795,890,24.01
M,20,1765,74.2,960,820,947,23.82
F,42,1511,61.1,942,830,935,26.76
F,22,1711,65.4,920,785,985,22.34
M,25,1784,76.2,943,812,972,23.94
M,20,1720,47.2,800,630,830,15.95
F,16,1574,49.7,790,670,904,20.06
F,19,1620,63.5,900,699,995,24.2
F,20,1627,56.0,840,664,934,21.15
M,53,1738,78.0,1006,957,945,25.82
F,31,1575,54.3,886,774,909,21.89
M,55,1745,58.2,818,728,920,19.11
M,67,1625,55.6,888,735,854,21.06
M,41,1693,72.6,900,831,933,25.33
F,23,1508,53.3,845,735,950,23.44
F,43,1555,52.5,851,715,895,21.71
F,45,1621,52.0,802,700,905,19.79
M,36,1617,60.4,868,785,900,23.1
M,33,1728,63.8,872,756,913,21.37
F,56,1488,60.6,1005,915,870,27.37
M,54,1715,84.9,1042,919,1026,28.87
F,33,1531,62.6,909,810,973,26.71
M,63,1674,62.2,911,823,886,22.2
F,67,1516,51.2,870,790,858,22.28
F,16,1644,64.1,895,794,1015,23.72
F,19,1618,79.8,1002,920,1125,30.48
M,16,1722,54.0,783,663,856,18.21
M,43,1730,70.9,925,825,948,23.69
M,20,1769,68.5,874,723,953,21.89
