gender,age,height,weight,bust_circumference,waist_circumference,hip_circumference
F,49,1595,63.4,960,862,960
M,51,1603,78.0,972,879,964
M,17,1663,49.2,745,612,844
F,17,1639,54.5,855,685,925
M,16,1657,59.2,853,712,954
M,50,1754,79.7,954,878,995
M,24,1915,86.7,964,807,980
F,19,1740,57.7,866,680,912
M,19,1775,73.8,880,792,964
M,49,1748,80.2,973,930,994
M,19,1790,68.0,857,737,955
F,22,1650,61.5,882,770,962
F,32,1546,42.1,765,691,821
M,42,1747,83.6,902,995,1000
M,20,1745,60.9,835,698,890
F,20,1675,57.2,815,709,967
M,61,1650,70.4,960,838,935
F,45,1641,60.1,901,825,950
M,20,1743,81.9,965,825,1017
F,25,1602,61.8,867,764,955
M,26,1770,62.7,850,690,885
F,16,1530,52.0,830,711,905
M,16,1714,64.8,905,760,916
M,28,1645,70.7,930,880,946
M,25,1660,55.5,771,697,872
M,40,1696,70.3,947,860,944
M,17,1828,72.8,875,785,995
M,21,1755,67.5,902,810,925
M,17,1712,92.5,1008,937,1092
F,16,1568,46.1,811,641,840
M,42,1734,74.2,966,828,920
M,36,1756,65.6,895,772,930
F,17,1649,47.9,795,641,870
F,19,1598,49.0,821,673,873
M,24,1805,83.7,951,875,1052
F,25,1512,51.5,855,796,901
M,18,1733,73.1,912,778,975
F,19,1535,54.0,863,696,967
F,46,1456,55.6,932,785,932
F,50,1528,56.6,939,825,963
M,40,1745,72.0,938,870,950
M,34,1738,74.6,955,833,979
M,19,1746,89.6,1060,1010,1033
F,55,1558,61.9,960,830,954
F,18,1610,52.9,825,710,909
F,27,1654,84.2,1030,892,1121
F,47,1585,67.8,955,855,1013
F,17,1635,46.2,760,632,850
M,18,1675,66.1,930,790,956
F,20,1647,52.0,816,610,850
M,33,1629,75.2,950,854,990
F,25,1602,52.8,775,730,947
F,52,1598,59.3,852,769,945
F,19,1660,70.2,922,786,1045
F,60,1535,58.8,964,886,920
F,24,1575,63.3,951,855,935
F,36,1632,63.6,900,860,971
M,24,1694,95.6,1090,1000,1072
M,17,1710,64.4,892,763,952
M,21,1724,73.6,925,764,941
F,20,1560,49.3,804,694,896
M,20,1743,66.2,852,770,940
M,39,1780,77.8,1000,910,947
F,43,1667,64.4,895,812,995
F,39,1650,74.8,990,932,1070
M,23,1770,89.4,1097,944,1024
F,26,1619,61.1,895,765,996
F,24,1645,58.2,860,697,935
M,16,1626,50.0,800,655,867
F,33,1545,48.6,782,676,890
M,60,1605,65.2,881,896,900
F,18,1592,60.7,904,768,953
M,53,1629,61.6,870,791,876
M,17,1663,57.0,835,685,945
F,50,1606,56.7,905,740,930
F,17,1614,56.5,870,704,956
F,17,1496,47.1,752,605,851
F,62,1510,65.3,988,915,960
F,41,1540,53.8,820,762,990
F,18,1602,58.5,866,767,971
M,39,1714,74.1,972,880,974
M,58,1710,64.5,905,835,905
F,26,1666,60.3,900,840,931
F,27,1691,110.4,1120,1049,1250
F,35,1622,54.6,842,750,920
M,25,1705,63.6,824,781,931
F,48,1641,62.5,986,868,955
F,18,1631,52.6,793,720,920
F,23,1667,53.9,842,640,915
M,24,1838,99.6,1053,882,1107
F,31,1638,60.0,930,780,940
M,44,1703,71.8,920,871,914
M,25,1661,73.2,921,821,995
F,17,1570,57.3,842,722,956
M,20,1714,64.4,880,720,930
M,59,1688,64.3,895,799,926
F,55,1437,50.3,900,806,860
F,17,1625,49.7,836,638,898
F,33,1613,60.2,895,827,967
M,19,1840,72.2,921,860,911
M,36,1720,73.9,992,810,998
F,35,1654,96.0,1180,1025,1170
M,30,1755,79.7,945,894,1005
M,32,1742,82.3,967,827,1025
M,24,1736,63.0,872,724,925
M,19,1760,66.4,870,757,925
M,21,1693,59.2,854,740,894
F,50,1582,61.5,943,828,960
F,23,1615,59.1,820,700,983
M,20,1735,56.2,805,683,885
F,39,1555,54.0,892,788,890
M,16,1700,56.9,820,689,851
M,49,1640,68.5,960,866,922
F,20,1645,53.5,801,685,901
M,18,1704,56.4,791,668,906
F,50,1586,82.0,1100,1030,1083
F,48,1657,63.3,915,880,985
F,16,1549,44.3,730,620,860
M,26,1704,71.9,862,807,985
M,19,1657,66.1,874,761,923
F,39,1682,106.9,1140,1027,1265
M,58,1665,68.8,990,942,957
F,48,1650,60.2,872,771,955
F,38,1468,53.5,886,800,925
M,25,1711,70.2,912,796,960
M,20,1726,69.1,891,810,972
M,16,1640,46.9,738,635,801
F,33,1664,55.4,832,640,905
M,19,1759,60.2,801,692,932
F,47,1573,69.7,980,880,975
F,28,1680,59.2,870,730,1003
F,44,1541,53.8,915,760,902
M,25,1804,72.6,892,820,970
F,23,1654,56.6,834,757,931
M,16,1795,57.3,816,651,907
F,27,1602,57.4,850,764,975
M,17,1794,51.5,744,644,834
F,20,1555,48.3,820,697,880
M,16,1720,62.5,860,740,949
F,19,1638,62.5,860,775,1002
F,19,1580,52.3,800,651,941
F,61,1456,66.6,1040,984,968
F,30,1663,48.9,790,692,872
F,59,1460,50.0,871,805,881
M,58,1650,82.1,1039,942,1011
M,33,1704,90.3,958,934,1058
F,16,1555,45.7,745,645,856
M,60,1638,68.5,947,892,943
F,61,1516,57.7,846,821,945
F,25,1516,47.7,790,700,882
M,67,1677,62.7,938,850,900
M,33,1685,75.2,944,838,1015
F,26,1610,54.3,906,730,916
F,29,1628,57.8,870,700,920
F,51,1565,64.3,971,838,960
F,16,1605,62.4,900,796,975
M,33,1835,87.8,1014,875,965
F,26,1634,64.8,896,770,985
M,23,1683,58.2,852,724,910
F,68,1480,48.5,871,792,855
F,16,1456,41.0,722,635,830
M,48,1774,77.0,960,889,953
M,16,1768,61.3,810,712,896
M,23,1793,74.9,886,836,965
F,54,1550,72.0,1055,954,974
F,25,1555,46.2,763,671,875
F,16,1581,48.5,760,654,865
M,52,1740,87.7,1040,948,1050
F,28,1669,59.5,860,706,927
F,27,1557,50.1,830,660,881
F,67,1535,67.7,1033,946,983
F,30,1563,56.4,840,722,945
F,16,1489,40.5,740,591,840
M,52,1603,72.9,998,858,952
F,44,1582,63.3,912,841,972
M,19,1614,55.6,804,705,865
F,41,1590,74.8,1106,972,970
M,16,1771,63.7,851,705,901
M,16,1788,63.2,864,722,911
M,18,1728,56.1,785,721,880
F,19,1582,56.1,845,768,930
F,33,1575,47.3,780,691,856
M,38,1665,58.1,850,760,891
M,25,1724,66.7,870,786,945
F,66,1479,68.2,1033,980,975
M,20,1829,76.2,922,804,993
M,21,1698,66.3,924,794,936
F,20,1586,63.0,889,822,995
M,63,1663,63.3,933,887,882
F,19,1662,57.9,831,690,936
F,16,1670,62.0,860,742,950
M,51,1666,60.7,902,785,876
M,21,1812,78.6,955,786,940
M,16,1750,65.4,845,705,935
F,46,1560,65.2,952,810,993
M,19,1774,60.6,775,685,891
F,17,1605,49.2,842,675,880
M,25,1683,64.7,928,765,901
M,21,1783,107.1,1109,1048,1116
M,57,1734,68.1,945,824,906
M,17,1728,75.8,940,816,994
M,18,1829,87.7,962,821,1055
F,43,1605,64.1,907,812,1030
M,21,1794,102.1,1153,1022,1110
F,20,1644,45.8,770,650,850
F,26,1578,48.4,810,680,901
M,35,1732,67.1,925,798,912
F,45,1710,51.8,791,655,880
F,46,1542,50.5,822,714,897
F,37,1669,55.1,831,740,925
M,22,1683,80.9,1016,934,1001
F,25,1597,58.0,859,780,937
M,54,1684,80.3,1004,911,1007
F,50,1594,54.5,850,730,910
F,16,1681,64.1,915,730,1011
F,18,1577,62.4,962,820,990
M,16,1655,56.9,853,678,891
M,32,1749,82.5,900,761,920
F,17,1577,59.1,845,755,1005
F,30,1753,64.7,821,745,980
F,46,1570,63.5,954,874,970
F,26,1591,49.8,785,700,925
M,22,1720,65.3,873,754,917
F,54,1571,56.0,865,804,941
F,16,1604,42.8,746,620,845
M,28,1833,106.2,1093,1036,1109
F,36,1591,57.6,906,762,918
F,63,1486,53.8,950,864,890
F,33,1605,54.9,823,704,934
M,45,1709,76.6,905,910,977
M,40,1786,57.6,893,726,930
F,16,1606,48.8,800,636,895
F,34,1585,45.1,770,646,870
M,17,1675,72.8,951,828,965
F,16,1666,58.1,837,698,917
F,16,1624,52.1,808,705,911
F,18,1625,48.7,790,640,870
M,23,1650,62.5,851,755,911
F,32,1572,46.3,780,692,875
M,33,1681,88.0,1058,985,1008
M,19,1775,103.5,1104,1025,1140
M,18,1698,64.2,845,715,937
F,21,1720,52.1,765,665,900
F,42,1624,62.0,935,833,933
M,29,1733,80.9,1024,876,1005
M,18,1736,58.9,778,691,894
M,18,1722,65.2,900,734,913
F,19,1623,63.4,871,761,984
F,46,1541,55.7,908,797,912
F,41,1631,69.2,1030,918,945
F,67,1523,63.6,1025,965,996
F,28,1598,48.4,783,645,870
M,45,1685,72.8,945,810,930
F,18,1595,59.5,895,734,937
M,55,1675,83.3,1062,983,1012
F,40,1476,47.4,810,685,861
M,18,1706,72.2,944,850,1006
M,33,1708,92.0,1022,956,1026
F,61,1595,68.8,1015,921,957
M,66,1632,60.4,864,804,910
M,39,1724,76.0,955,885,971
F,16,1634,60.9,848,745,952
F,19,1564,58.1,894,735,957
M,22,1640,55.1,825,666,864
M,56,1651,62.4,920,745,890
F,16,1611,53.7,806,657,905
F,19,1566,50.6,780,670,910
F,23,1630,50.3,805,662,860
M,20,1640,61.2,840,722,930
M,41,1758,66.7,910,826,911
F,21,1720,58.0,791,690,1001
M,16,1848,65.0,827,687,895
M,27,1789,89.1,1025,1013,1009
M,18,1905,79.6,874,775,1000
F,49,1510,55.7,886,790,915
F,34,1570,48.5,831,716,867
M,34,1797,79.9,950,860,979
F,34,1625,71.8,990,905,1046
F,19,1560,41.2,718,625,808
F,48,1580,58.4,880,785,893
F,18,1531,55.2,858,755,945
M,22,1780,61.0,849,733,914
F,19,1600,66.2,915,745,1020
F,46,1568,47.7,812,672,850
M,24,1770,76.7,925,840,990
M,58,1634,66.2,907,839,911
F,18,1645,57.6,871,741,948
F,65,1486,68.4,1020,960,1014
F,18,1551,65.9,1000,885,959
F,65,1495,53.2,936,835,840
M,20,1740,60.4,820,766,902
M,39,1664,72.0,968,882,946
M,24,1720,74.8,956,796,955
M,18,1725,60.5,826,695,845
M,57,1643,70.5,940,947,955
F,20,1539,40.8,762,623,815
M,17,1675,60.7,825,760,950
F,49,1560,57.5,864,805,996
M,37,1797,86.8,1077,940,976
F,29,1651,60.6,856,721,970
F,46,1604,62.2,912,795,993
F,57,1573,56.7,954,855,892
M,24,1656,84.6,1030,975,1026
M,20,1790,79.0,992,837,1006
M,31,1699,67.7,950,814,949
M,26,1769,83.5,963,861,1017
M,17,1639,58.0,820,713,926
F,18,1634,58.5,867,700,936
M,41,1766,82.3,1010,845,987
F,16,1610,49.3,770,660,901
M,46,1746,115.4,1217,1164,1195
F,24,1645,58.2,898,722,952
F,40,1567,63.2,961,852,942
F,16,1583,56.6,795,710,930
M,19,1710,57.0,825,685,861
M,27,1778,69.0,916,777,945
F,62,1584,79.7,1018,1007,1095
F,35,1550,44.4,798,645,845
F,37,1554,52.1,817,780,890
F,51,1508,54.6,905,795,890
M,20,1765,74.2,960,820,947
F,42,1511,61.1,942,830,935
F,22,1711,65.4,920,785,985
M,25,1784,76.2,943,812,972
M,20,1720,47.2,800,630,830
F,16,1574,49.7,790,670,904
F,19,1620,63.5,900,699,995
F,20,1627,56.0,840,664,934
M,53,1738,78.0,1006,957,945
F,31,1575,54.3,886,774,909
M,55,1745,58.2,818,728,920
M,67,1625,55.6,888,735,854
M,41,1693,72.6,900,831,933
F,23,1508,53.3,845,735,950
F,43,1555,52.5,851,715,895
F,45,1621,52.0,802,700,905
M,36,1617,60.4,868,785,900
M,33,1728,63.8,872,756,913
F,56,1488,60.6,1005,915,870
M,54,1715,84.9,1042,919,1026
F,33,1531,62.6,909,810,973
M,63,1674,62.2,911,823,886
F,67,1516,51.2,870,790,858
F,16,1644,64.1,895,794,1015
F,19,1618,79.8,1002,920,1125
M,16,1722,54.0,783,663,856
M,43,1730,70.9,925,825,948
M,20,1769,68.5,874,723,953
F,32,1626,48.3,780,645,891
F,34,1607,56.9,919,862,999
M,16,1651,51.4,786,695,861
M,16,1773,61.7,810,674,874
M,44,1691,71.7,935,923,949
M,29,1702,66.7,912,819,881
F,67,1523,60.1,935,835,921
F,17,1724,60.5,856,673,942
M,33,1682,93.7,1126,1036,1102
M,17,1754,60.9,830,704,923
M,47,1746,78.8,976,891,1005
M,66,1633,53.6,833,718,868
M,17,1758,59.0,832,670,899
F,57,1568,48.5,795,705,867
M,53,1730,79.2,967,970,974
F,49,1618,63.5,957,825,980
M,16,1795,59.4,800,694,920
M,17,1740,68.5,868,788,970
F,16,1605,60.5,925,726,935
F,54,1545,61.4,955,886,940
F,21,1587,75.6,970,907,1025
F,19,1589,50.4,796,675,885
F,19,1627,49.5,806,635,868
M,22,1780,73.9,895,783,895
M,20,1655,55.6,835,700,855
M,22,1688,65.6,905,730,900
M,30,1668,78.8,971,920,1016
M,30,1725,76.2,969,821,970
M,17,1701,60.3,851,700,876
M,36,1643,84.2,1018,965,1064
M,16,1700,71.2,900,771,1002
M,16,1655,60.3,841,695,905
M,62,1681,67.0,958,811,911
M,36,1770,74.2,904,791,967
F,50,1561,71.5,1021,911,1001
M,42,1698,67.4,872,819,946
F,23,1621,61.6,864,784,955
F,16,1542,49.2,791,735,871
F,39,1621,57.6,842,782,964
F,24,1575,49.4,845,648,860
M,25,1875,69.5,876,772,972
F,37,1581,51.9,788,695,931
F,34,1652,51.1,810,640,890
F,42,1590,79.7,1075,972,1005
F,43,1448,41.1,816,705,831
F,36,1593,49.4,797,670,886
F,23,1645,51.8,825,695,866
M,25,1705,57.9,817,720,872
F,53,1535,51.9,829,798,921
F,53,1539,47.5,805,700,862
F,24,1607,57.7,928,744,940
M,41,1755,78.0,989,843,980
M,17,1725,72.1,935,835,977
F,54,1538,48.6,848,740,883
M,22,1708,56.7,803,707,872
F,33,1614,60.0,857,750,970
F,18,1568,53.2,835,680,922
F,16,1688,60.9,885,705,945
M,34,1715,78.7,932,875,1002
F,57,1520,54.6,916,738,886
M,20,1675,59.5,832,734,891
M,28,1675,68.9,913,809,944
F,51,1686,80.7,1024,941,1025
M,26,1757,90.0,1054,956,1032
F,16,1651,64.1,895,720,963
M,16,1684,60.7,783,699,924
M,18,1670,51.6,740,678,850
F,60,1547,53.6,864,793,930
M,18,1770,63.7,805,735,922
F,16,1499,52.2,831,730,921
F,19,1619,71.4,1012,855,1021
M,22,1767,56.9,820,658,834
M,16,1697,53.8,757,664,841
F,21,1562,59.6,910,752,966
M,26,1695,70.5,957,840,971
F,51,1626,65.1,950,790,1000
M,23,1781,93.5,1085,946,1071
F,17,1638,61.4,851,710,1001
F,16,1548,49.9,802,690,884
M,28,1784,76.1,906,832,976
F,16,1572,48.1,770,640,870
M,17,1783,76.3,950,840,1005
F,34,1600,55.6,850,721,935
F,56,1575,65.4,910,774,995
F,39,1640,64.6,915,773,987
M,24,1735,66.7,894,748,929
F,19,1564,60.8,905,786,952
F,27,1611,43.7,746,669,852
M,38,1729,81.6,1018,920,1003
M,37,1747,74.3,936,943,931
F,28,1628,58.4,887,758,926
F,16,1647,52.4,788,660,900
F,25,1680,53.8,798,720,892
M,23,1763,68.2,891,735,905
F,60,1615,63.4,915,794,961
M,18,1714,63.8,844,716,871
M,16,1734,58.1,796,665,885
M,18,1704,60.9,825,681,877
M,16,1769,70.4,880,765,975
M,38,1784,62.7,849,770,895
F,19,1503,57.1,885,803,925
F,22,1645,56.8,805,775,961
F,36,1664,87.6,1019,860,1121
F,25,1703,65.7,881,742,1006
M,61,1623,67.3,955,892,957
M,34,1680,55.6,812,680,845
F,20,1599,49.8,808,693,905
M,31,1735,84.9,1025,960,1042
M,19,1790,72.0,891,842,987
M,19,1740,61.1,885,756,940
M,31,1625,67.2,920,832,940
M,23,1784,88.8,1018,885,1072
F,64,1611,67.9,1018,895,945
F,33,1590,54.7,840,791,925
F,52,1605,67.6,1025,951,971
M,57,1616,67.2,963,831,942
F,50,1522,60.4,991,815,901
M,47,1744,77.2,993,902,1010
F,33,1678,60.6,870,798,945
M,18,1794,97.4,1078,978,1142
M,25,1730,68.3,870,757,941
F,22,1685,56.1,850,702,937
M,31,1837,82.9,988,880,1042
M,53,1624,65.8,906,881,897
F,32,1547,60.3,923,880,996
M,65,1639,86.4,1101,1110,999
F,19,1581,47.3,846,657,847
M,22,1695,56.9,883,695,846
F,16,1523,65.1,984,817,981
F,16,1586,53.2,820,710,894
M,24,1830,129.7,1269,1235,1201
F,45,1505,49.0,815,717,884
F,17,1506,52.0,851,721,889
F,17,1614,48.0,740,629,874
F,23,1646,47.5,699,600,889
F,19,1600,47.4,742,647,860
M,19,1685,63.7,866,768,965
M,31,1777,92.5,1050,990,1065
F,38,1620,51.7,845,726,890
F,18,1604,57.5,856,740,966
M,36,1858,67.5,920,757,902
F,61,1575,46.6,776,721,870
M,18,1684,75.2,941,899,985
F,34,1649,54.8,855,710,890
M,24,1769,61.4,871,695,881
F,41,1521,63.5,972,910,974
F,17,1620,61.8,861,720,971
M,20,1686,68.9,875,787,993
F,37,1669,53.5,825,678,882
F,25,1607,55.1,840,682,905
F,36,1571,52.0,840,735,894
